file_path,purpose,used_by,category,recommended_action,reason,risk_level,testing_required
".cursorrules","Application source","—","Shared component","KEEP","Active or routable source","Low","npm run build"
".env","Application source","—","Shared component","KEEP","Active or routable source","Low","npm run build"
".env.bak-openai-removal-20260523201014","Application source","—","Shared component","KEEP","Active or routable source","Low","npm run build"
".env.example","Application source","—","Shared component","KEEP","Active or routable source","Low","npm run build"
".env.local","Application source","—","Shared component","KEEP","Active or routable source","Low","npm run build"
".eslintrc.json","Application source","—","Shared component","KEEP","Active or routable source","Low","npm run build"
".github/workflows/ci.yml","Automated test or CI workflow","—","Test/CI","KEEP","Operational asset","Low","CI scripts"
".github/workflows/design-audit.yml","Automated test or CI workflow","—","Test/CI","KEEP","Operational asset","Low","CI scripts"
".gitignore","Application source","—","Shared component","KEEP","Active or routable source","Low","npm run build"
".lighthouserc.json","Application source","—","Shared component","KEEP","Active or routable source","Low","npm run build"
".npmrc","Application source","—","Shared component","KEEP","Active or routable source","Low","npm run build"
".nvmrc","Application source","—","Shared component","KEEP","Active or routable source","Low","npm run build"
".secrets/minrosh-site-robot.json","Application source","—","Shared component","KEEP","Active or routable source","Low","npm run build"
".vscode/settings.json","Application source","—","Shared component","KEEP","Active or routable source","Low","npm run build"
"app/about/page.js","Next.js page route","Next.js router","Public website core","KEEP","Active or routable source","Low","npm run build"
"app/admin/(secure)/audit/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/automations/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/crm-insights/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/crm/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/customers/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/inbox/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/intelligence/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/invoices/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/layout.js","Application source","—","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/leads/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/news/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/pipeline/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/quotes/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/reports/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/success-stories/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/tasks/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/(secure)/users/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/admin.css","Application source","—","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/error.js","Application source","—","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/layout.js","Application source","—","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/loading.js","Application source","—","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/login/login-form.jsx","Application source","app/admin/login/page.js","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/admin/login/page.js","Next.js page route","Next.js router","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/api/admin/audit/route.js","API route handler","HTTP","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/api/admin/automations/route.js","API route handler","HTTP","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/api/admin/broadcast/route.js","API route handler","HTTP","Admin workspace core","MERGE","Duplicate nodemailer transport; consolidate to lib/contact.js","Low","npm run test:smtp && test:contact"
"app/api/admin/customers/[id]/documents-zip/route.js","API route handler","HTTP","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/api/admin/customers/[id]/route.js","API route handler","HTTP","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/api/admin/customers/[id]/status-sheet-link/route.js","API route handler","HTTP","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/api/admin/customers/route.js","API route handler","HTTP","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/api/admin/documents/[customerId]/[name]/route.js","API route handler","HTTP","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/api/admin/enquiries/route.js","API route handler","HTTP","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/api/admin/health/route.js","API route handler","HTTP","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
"app/api/admin/inbox/route.js","API route handler","HTTP","Admin workspace core","KEEP","Core platform functionality","High","verify:ci"
